Property	Description
min-width	Specify the minimum width of an element.
opacity 	Specifies the transparency of an element.
order 	Specifies the order in which a flex items are displayed and laid out within a flex container.
outline	Sets the width, style, and color for all four sides of an element's outline.
outline-color	Sets the color of the outline.
outline-offset 	Set the space between an outline and the border edge of an element.
outline-style	Sets a style for an outline.
outline-width	Sets the width of the outline.
overflow	Specifies the treatment of content that overflows the element's box.
overflow-x 	Specifies the treatment of content that overflows the element's box horizontally.
overflow-y 	Specifies the treatment of content that overflows the element's box vertically.
padding	Sets the padding on all four sides of the element.
padding-bottom	Sets the padding to the bottom side of an element.
padding-left	Sets the padding to the left side of an element.
padding-right	Sets the padding to the right side of an element.
padding-top	Sets the padding to the top side of an element.
page-break-after	Insert a page breaks after an element.
page-break-before	Insert a page breaks before an element.
page-break-inside	Insert a page breaks inside an element.
perspective 	Defines the perspective from which all child elements of the object are viewed.
perspective-origin 	Defines the origin (the vanishing point for the 3D space) for the perspective property.
position	Specifies how an element is positioned.
quotes	Specifies quotation marks for embedded quotations.
resize 	Specifies whether or not an element is resizable by the user.
right	Specify the location of the right edge of the positioned element.
tab-size 	Specifies the length of the tab character.
table-layout	Specifies a table layout algorithm.
text-align	Sets the horizontal alignment of inline content.
text-align-last 	Specifies how the last line of a block or a line right before a forced line break is aligned when text-align is justify.
text-decoration	Specifies the decoration added to text.
text-decoration-color 	Specifies the color of the text-decoration-line.
text-decoration-line 	Specifies what kind of line decorations are added to the element.
text-decoration-style 	Specifies the style of the lines specified by the text-decoration-line property
text-indent	Indent the first line of text.
text-justify 	Specifies the justification method to use when the text-align property is set to justify.
text-overflow 	Specifies how the text content will be displayed, when it overflows the block containers.
text-shadow 	Applies one or more shadows to the text content of an element.
text-transform	Transforms the case of the text.
top	Specify the location of the top edge of the positioned element.
transform 	Applies a 2D or 3D transformation to an element.
transform-origin 	Defines the origin of transformation for an element.
transform-style 	Specifies how nested elements are rendered in 3D space.
transition 	Defines the transition between two states of an element.
transition-delay 	Specifies when the transition effect will start.
transition-duration 	Specifies the number of seconds or milliseconds a transition effect should take to complete.
transition-property 	Specifies the names of the CSS properties to which a transition effect should be applied.
transition-timing-function 	Specifies the speed curve of the transition effect.
vertical-align	Sets the vertical positioning of an element relative to the current text baseline.
visibility	Specifies whether or not an element is visible.
white-space	Specifies how white space inside the element is handled.
width	Specify the width of an element.
word-break 	Specifies how to break lines within words.
word-spacing	Sets the spacing between words.
word-wrap 	Specifies whether to break words when the content overflows the boundaries of its container.
z-index	Specifies a layering or stacking order for positioned elements.

-----------------------------------------------------------------------------------------------------------------------

Mülk	Tanım
align-content 	Esnek kap içindeki esnek kapsayıcı öğelerinin hizalamasını belirtir.
align-items 	Esnek kap içindeki öğeler için varsayılan hizalamayı belirtir.
align-self 	Esnek kap içindeki seçili öğeler için hizalamayı belirtir.
animation 	Anahtar kare tabanlı animasyonları belirtir.
animation-delay 	Animasyonun ne zaman başlayacağını belirtir.
animation-direction 	Animasyonun alternatif döngülerde ters yönde oynatılıp oynatılmayacağını belirtir.
animation-duration 	Bir animasyonun bir döngüyü tamamlaması için gereken saniye veya milisaniye sayısını belirtir.
animation-fill-mode 	Bir CSS animasyonunun yürütülmeden önce ve sonra hedefine stilleri nasıl uygulaması gerektiğini belirtir.
animation-iteration-count 	Bir animasyon döngüsünün durmadan önce kaç kez oynatılması gerektiğini belirtir.
animation-name 	@keyframesSeçilen öğeye uygulanması gereken tanımlı animasyonların adını belirtir .
animation-play-state 	Animasyonun çalışıp çalışmadığını veya duraklatıldığını belirtir.
animation-timing-function 	Bir CSS animasyonunun her döngü boyunca nasıl ilerlemesi gerektiğini belirtir.
backface-visibility 	Dönüştürülen bir öğenin "arka" tarafının kullanıcıya dönükken görünüp görünmeyeceğini belirtir.
background	Tek bir bildirimde çeşitli arka plan özelliklerini tanımlar.
background-attachment	Arka plan görüntüsünün görünüm alanında sabit mi yoksa kayar mı olduğunu belirtin.
background-clip 	Arka planın boyama alanını belirtir.
background-color	Bir öğenin arka plan rengini tanımlar.
background-image	Bir öğenin arka plan görüntüsünü tanımlar.
background-origin 	Arka plan resimlerinin konumlandırma alanını belirtir.
background-position	Bir arka plan görüntüsünün kaynağını tanımlar.
background-repeat	Arka plan görüntüsünün döşenip döşenmeyeceğini/nasıl döşeneceğini belirtin.
background-size 	Arka plan resimlerinin boyutunu belirtir.
border	Bir öğenin kenarlığının dört tarafının genişliğini, stilini ve rengini ayarlar.
border-bottom	Bir öğenin alt kenarlığının genişliğini, stilini ve rengini ayarlar.
border-bottom-color	Bir öğenin alt kenarlığının rengini ayarlar.
border-bottom-left-radius 	Bir öğenin sol alt kenarlık köşesinin şeklini tanımlar.
border-bottom-right-radius 	Bir öğenin sağ alt kenarlık köşesinin şeklini tanımlar.
border-bottom-style	Bir öğenin alt kenarlığının stilini ayarlar.
border-bottom-width	Bir elemanın alt kenarlığının genişliğini ayarlar.
border-collapse	Tablo hücre kenarlıklarının bağlantılı mı yoksa ayrılmış mı olduğunu belirtir.
border-color	Bir öğenin dört kenarındaki kenarlığın rengini ayarlar.
border-image 	Kenarlık stilleri yerine bir görüntünün nasıl kullanılacağını belirtir.
border-image-outset 	Kenar görüntü alanının kenarlık kutusunun dışına taşma miktarını belirtir.
border-image-repeat 	Görüntü kenarlığının tekrarlanması, yuvarlanması veya uzatılması gerektiğini belirtir.
border-image-slice 	Görüntü kenarlığının içe doğru ofsetlerini belirtir.
border-image-source 	Kenarlık olarak kullanılacak görüntünün konumunu belirtir.
border-image-width 	Görüntü kenarlığının genişliğini belirtir.
border-left	Bir öğenin sol kenarlığının genişliğini, stilini ve rengini ayarlar.
border-left-color	Bir öğenin sol kenarlığının rengini ayarlar.
border-left-style	Bir öğenin sol kenarlığının stilini ayarlar.
border-left-width	Bir öğenin sol kenarlığının genişliğini ayarlar.
border-radius 	Bir öğenin kenarlık köşelerinin şeklini tanımlar.
border-right	Bir öğenin sağ kenarlığının genişliğini, stilini ve rengini ayarlar.
border-right-color	Bir öğenin sağ kenarlığının rengini ayarlar.
border-right-style	Bir öğenin sağ kenarlığının stilini ayarlar.
border-right-width	Bir öğenin sağ kenarlığının genişliğini ayarlar.
border-spacing	Bitişik tablo hücrelerinin kenarları arasındaki boşluğu ayarlar.
border-style	Bir öğenin dört kenarının tamamındaki kenarlığın stilini ayarlar.
border-top	Bir öğenin üst kenarlığının genişliğini, stilini ve rengini ayarlar.
border-top-color	Bir elemanın üst kenarlığının rengini ayarlar.
border-top-left-radius 	Bir öğenin sol üst kenarlık köşesinin şeklini tanımlar.
border-top-right-radius 	Bir öğenin sağ üst kenarlık köşesinin şeklini tanımlar.
border-top-style	Bir öğenin üst kenarlığının stilini ayarlar.
border-top-width	Bir elemanın üst kenarlığının genişliğini ayarlar.
border-width	Bir öğenin dört kenarının tamamındaki kenarlığın genişliğini ayarlar.
bottom	Konumlandırılmış öğenin alt kenarının konumunu belirtin.
box-shadow 	Öğenin kutusuna bir veya daha fazla alt gölge uygular.
box-sizing 	Varsayılan CSS kutusu modelini değiştirin.
caption-side	Tablo başlığının konumunu belirtin.
clear	Kayan öğelere göre bir öğenin yerleşimini belirtir.
clip	Kırpma bölgesini tanımlar.
color	Bir öğenin metninin rengini belirtin.
column-count 	Çok sütunlu bir öğedeki sütun sayısını belirtir.
column-fill 	Sütunların nasıl doldurulacağını belirtir.
column-gap 	Çok sütunlu bir öğedeki sütunlar arasındaki boşluğu belirtir.
column-rule 	Çok sütunlu bir öğede her sütun arasına çizilecek düz bir çizgi veya "kural" belirtir.
column-rule-color 	Çok sütunlu düzende sütunlar arasına çizilen kuralların rengini belirtir.
column-rule-style 	Çok sütunlu düzende sütunlar arasına çizilen kuralın stilini belirtir.
column-rule-width 	Çok sütunlu düzende sütunlar arasına çizilen kuralın genişliğini belirtir.
column-span 	Bir öğenin çok sütunlu bir düzende kaç sütuna yayıldığını belirtir.
column-width 	Çok sütunlu bir öğedeki sütunların en uygun genişliğini belirtir.
columns 	column-widthAyar ve özellikler için kısa bir özellik column-count.
content	Oluşturulan içeriği ekler.
counter-increment	Bir veya daha fazla sayaç değerini artırır.
counter-reset	Bir veya daha fazla sayaç oluşturur veya sıfırlar.
cursor	İmleç türünü belirtin.
direction	Metin yönünü/yazma yönünü tanımlayın.
display	Bir öğenin ekranda nasıl görüntüleneceğini belirtir.
empty-cells	Boş tablo hücrelerinin kenarlıklarını ve arka planlarını gösterin veya gizleyin.
flex 	Esnek bir uzunluğun bileşenlerini belirtir.
flex-basis 	Esnek öğenin başlangıç ​​ana boyutunu belirtir.
flex-direction 	Esnek öğelerin yönünü belirtir.
flex-flow 	flex-directionve özellikleri için kısa bir özellik flex-wrap.
flex-grow 	Esnek öğenin, esnek kap içindeki diğer öğelere göre nasıl büyüyeceğini belirtir.
flex-shrink 	Esnek öğenin, esnek kap içindeki diğer öğelere göre nasıl küçüleceğini belirtir.
flex-wrap 	Esnek öğelerin kaydırılıp kaydırılmayacağını belirtir.
float	Bir kutunun yüzmesi gerekip gerekmediğini belirtir.
font	Tek bir bildirimde çeşitli yazı tipi özelliklerini tanımlar.
font-family	Öğe için bir yazı tipi listesi tanımlar.
font-size	Metin için yazı tipi boyutunu tanımlar.
font-size-adjust 	Yazı tipi geri dönüşü gerçekleştiğinde metnin okunabilirliğini korur.
font-stretch 	Bir yazı tipinden normal, yoğunlaştırılmış veya genişletilmiş bir yüz seçer.
font-style	Metin için yazı tipi stilini tanımlar.
font-variant	Yazı tipi varyantını belirtin.
font-weight	Metnin yazı tipi ağırlığını belirtin.
height	Bir elemanın yüksekliğini belirtin.
justify-content 	Herhangi bir esnek uzunluk ve otomatik kenar boşluğu çözümlendikten sonra, esnek öğelerin esnek kapsayıcının ana ekseni boyunca nasıl hizalanacağını belirtir.
left	Konumlandırılmış öğenin sol kenarının konumunu belirtin.
letter-spacing	Harfler arasındaki ekstra boşluğu ayarlar.
line-height	Metin satırları arasındaki yüksekliği ayarlar.
list-style	Bir liste ve liste öğeleri için görüntüleme stilini tanımlar.
list-style-image	Liste öğesi işaretçisi olarak kullanılacak görüntüyü belirtir.
list-style-position	Liste öğesi işaretleyicisinin konumunu belirtir.
list-style-type	Bir liste öğesi için işaretçi stilini belirtir.
margin	Öğenin dört tarafındaki kenar boşluğunu ayarlar.
margin-bottom	Öğenin alt kenar boşluğunu ayarlar.
margin-left	Öğenin sol kenar boşluğunu ayarlar.
margin-right	Öğenin sağ kenar boşluğunu ayarlar.
margin-top	Öğenin üst kenar boşluğunu ayarlar.
max-height	Bir elemanın maksimum yüksekliğini belirtin.
max-width	Bir öğenin maksimum genişliğini belirtin.
min-height	Bir elemanın minimum yüksekliğini belirtin.
min-width	Bir öğenin minimum genişliğini belirtin.
opacity 	Bir öğenin saydamlığını belirtir.
order 	Bir esnek öğenin bir esnek kapsayıcı içinde görüntülenme ve düzenlenme sırasını belirtir.
outline	Bir öğenin anahattının dört tarafının genişliğini, stilini ve rengini ayarlar.
outline-color	Ana hattın rengini ayarlar.
outline-offset 	Bir öğenin dış çizgisi ile kenarlık kenarı arasındaki boşluğu ayarlayın.
outline-style	Anahat için bir stil ayarlar.
outline-width	Ana hattın genişliğini ayarlar.
overflow	Öğenin kutusundan taşan içeriğin işlenmesini belirtir.
overflow-x 	Öğenin kutusundan yatay olarak taşan içeriğin işlenmesini belirtir.
overflow-y 	Öğenin kutusundan dikey olarak taşan içeriğin işlenmesini belirtir.
padding	Öğenin dört tarafındaki dolguyu ayarlar.
padding-bottom	Dolguyu bir öğenin alt tarafına ayarlar.
padding-left	Dolguyu bir öğenin sol tarafına ayarlar.
padding-right	Dolguyu bir öğenin sağ tarafına ayarlar.
padding-top	Dolguyu bir öğenin üst tarafına ayarlar.
page-break-after	Bir öğeden sonra bir sayfa sonları ekleyin.
page-break-before	Bir öğeden önce bir sayfa sonları ekleyin.
page-break-inside	Bir öğenin içine sayfa sonları ekleyin.
perspective 	Nesnenin tüm alt öğelerinin görüntülendiği perspektifi tanımlar.
perspective-origin 	Perspektif özelliği için orijini (3B uzay için ufuk noktası) tanımlar.
position	Bir öğenin nasıl konumlandırılacağını belirtir.
quotes	Katıştırılmış alıntılar için tırnak işaretlerini belirtir.
resize 	Bir öğenin kullanıcı tarafından yeniden boyutlandırılabilir olup olmadığını belirtir.
right	Konumlandırılmış öğenin sağ kenarının konumunu belirtin.
tab-size 	Sekme karakterinin uzunluğunu belirtir.
table-layout	Bir tablo düzeni algoritması belirtir.
text-align	Satır içi içeriğin yatay hizalamasını ayarlar.
text-align-last 	text-alignis olduğunda , bir bloğun son satırının veya zorunlu satır kesmesinden hemen önceki satırın nasıl hizalanacağını belirtir justify.
text-decoration	Metne eklenen süslemeyi belirtir.
text-decoration-color 	rengini belirtir text-decoration-line.
text-decoration-line 	Öğeye ne tür çizgi süslemelerinin ekleneceğini belirtir.
text-decoration-style 	text-decoration-lineÖzellik tarafından belirtilen çizgilerin stilini belirtir
text-indent	Metnin ilk satırını girintili yapın.
text-justify 	text-alignÖzellik olarak ayarlandığında kullanılacak yaslama yöntemini belirtir justify.
text-overflow 	Blok kaplarından taştığında metin içeriğinin nasıl görüntüleneceğini belirtir.
text-shadow 	Bir öğenin metin içeriğine bir veya daha fazla gölge uygular.
text-transform	Metnin durumunu dönüştürür.
top	Konumlandırılmış öğenin üst kenarının konumunu belirtin.
transform 	Bir öğeye 2B veya 3B dönüştürme uygular.
transform-origin 	Bir öğe için dönüşümün kaynağını tanımlar.
transform-style 	Yuvalanmış öğelerin 3B alanda nasıl işlendiğini belirtir.
transition 	Bir elemanın iki durumu arasındaki geçişi tanımlar.
transition-delay 	Geçiş efektinin ne zaman başlayacağını belirtir.
transition-duration 	Bir geçiş efektinin tamamlanması için geçmesi gereken saniye veya milisaniye sayısını belirtir.
transition-property 	Geçiş efektinin uygulanması gereken CSS özelliklerinin adlarını belirtir.
transition-timing-function 	Geçiş efektinin hız eğrisini belirtir.
vertical-align	Geçerli metin taban çizgisine göre bir öğenin dikey konumunu ayarlar.
visibility	Bir öğenin görünür olup olmadığını belirtir.
white-space	Öğe içindeki beyaz boşluğun nasıl işleneceğini belirtir.
width	Bir elemanın genişliğini belirtin.
word-break 	Sözcüklerdeki satırların nasıl bölüneceğini belirtir.
word-spacing	Kelimeler arasındaki boşluğu ayarlar.
word-wrap 	İçerik, kapsayıcısının sınırlarını aştığında sözcüklerin ayrılıp ayrılmayacağını belirtir.
z-index	Konumlandırılmış öğeler için bir katmanlama veya yığınlama sırası belirtir.
