Tag	           Description
<tbody>	    Groups a set of rows defining the main body of the table data.
<td>	      Defines a cell in a table.
<template> 	Defines the fragments of HTML that should be hidden when the page is loaded, but can be cloned and inserted in the document by JavaScript.
<textarea>	Defines a multi-line text input control (text area).
<tfoot>	    Groups a set of rows summarizing the columns of the table.
<th>	      Defines a header cell in a table.
<thead>	    Groups a set of rows that describes the column labels of a table.
<time> 	    Represents a time and/or date.
<title>	    Defines a title for the document.
<tr>	      Defines a row of cells in a table.
<track> 	  Defines text tracks for the media elements like <audio> or <video>.
<tt>	      Obsolete Displays text in a teletype style.
<u>	        Displays text with an underline.
<ul>	      Defines an unordered list.
<var>	      Defines a variable.
<video> 	  Embeds video content in an HTML document.
<wbr> 	    Represents a line break opportunity.

---------------------------------------------------------------------------------------------------------

Etiket	       Tanım
<a>	           Bir köprü tanımlar.
<abbr>	       Daha uzun bir kelimenin veya deyimin kısaltılmış biçimini tanımlar.
<acronym>	     Modası geçmişBir kısaltma tanımlar. Bunun yerine kullanın <abbr>.
<address>	     Yazarın iletişim bilgilerini belirtir.
<applet>	     Modası geçmişSayfaya bir Java uygulaması (mini Java uygulamaları) yerleştirir. Bunun yerine kullanın <object>.
<area>	       Bir görüntü haritası içinde belirli bir alanı tanımlar.
<article> 	   Bir makale tanımlar.
<aside> 	     Sayfa içeriğiyle gevşek bir şekilde ilgili bazı içerikleri tanımlar.
<audio> 	     Bir sesi veya ses akışını bir HTML belgesine gömer.
<b>	           Metni kalın bir stilde görüntüler.
<base>	       Bir belgedeki tüm göreli URL'ler için temel URL'yi tanımlar.
<basefont>	   Modası geçmişBir sayfa için temel yazı tipini belirtir. Bunun yerine CSS kullanın.
<bdi> 	       Çift yönlü metin biçimlendirmesi amacıyla çevresinden izole edilmiş metni temsil eder.
<bdo>	         Geçerli metin yönünü geçersiz kılar.
<big>        	Modası geçmişMetni büyük boyutta görüntüler. Bunun yerine CSS kullanın.
<blockquote>	Başka bir kaynaktan alıntılanan bir bölümü temsil eder.
<body>       	Belgenin gövdesini tanımlar.
<br>        	Tek bir satır sonu üretir.
<button>	    Tıklanabilir bir düğme oluşturur.
<canvas> 	    Belgede, komut dosyası (genellikle JavaScript) aracılığıyla anında grafik çizmek için kullanılabilecek bir bölge tanımlar.
<caption>	    Tablonun açıklamasını veya başlığını tanımlar.
<center>	    Modası geçmiş İçeriği merkezde hizalayın. Bunun yerine CSS kullanın.
<cite>	      Bir alıntıyı veya başka bir kaynağa referansı gösterir.
<code>	      Metni bilgisayar kodu olarak belirtir.
<col>	        Bir tablodaki bir veya daha fazla sütun için öznitelik değerlerini tanımlar.
<colgroup>	  Bir tablodaki birden çok sütun için öznitelikleri belirtir.
<data> 	      Bir içerik parçasını makine tarafından okunabilen bir çeviriye bağlar.
<datalist> 	  Bir öğe için önceden tanımlanmış seçenekler kümesini temsil eder <input>.
<dd>	<dt>    Açıklama listesinde ( ) terim için bir açıklama veya değer belirtir ( <dl>).
<del>	        Belgeden silinen metni temsil eder.
<details> 	  Kullanıcının talep üzerine ek bilgiler veya kontroller edinebileceği bir widget'ı temsil eder.
<dfn>     	  Bir tanım belirtir.
<dialog> 	    Bir iletişim kutusu veya alt pencere tanımlar.
<dir>         Modası geçmişBir dizin listesi tanımlar. Bunun yerine kullanın <ul>.
<div>	        Belgedeki bir bölümü veya bölümü belirtir.
<dl>	        Bir açıklama listesi tanımlar.
<dt>	        Açıklama listesinde bir terim (bir öğe) tanımlar.
<em>	        Vurgulanan metni tanımlar.
<embed> 	    Harici uygulamayı, genellikle ses veya video gibi multimedya içeriğini bir HTML belgesine gömer.
<fieldset>	  Bir dizi ilgili form alanı belirtir.
<figcaption> 	Bir şekil için başlık veya gösterge tanımlar.
<figure> 	    Belgenin bir parçası olarak gösterilen bir şekli temsil eder.
<font>	      Modası geçmişMetnin yazı tipini, rengini ve boyutunu tanımlar. Bunun yerine CSS kullanın.
<footer> 	    Bir belgenin veya bölümün altbilgisini temsil eder.
<form>	      Kullanıcı girişi için bir HTML formu tanımlar.
<frame>	      Modası geçmişBir çerçeve kümesi içinde tek bir çerçeve tanımlar.
<frameset>	  Modası geçmişBir çerçeve koleksiyonunu veya başka bir çerçeve kümesini tanımlar.
<head>	      Başlık gibi belge hakkında bilgi içeren belgenin baş kısmını tanımlar.
<header> 	    Bir belgenin veya bölümün başlığını temsil eder.
<hgroup>    	Bir grup başlık tanımlar.
<h1> to <h6>	HTML başlıklarını tanımlar.
<hr>	        Yatay bir çizgi oluşturun.
<html>	      Bir HTML belgesinin kökünü tanımlar.
<i>	          Metni italik tarzda görüntüler.
<iframe>	    Satır içi çerçevede bir URL görüntüler.
<img>	        Bir görüntüyü temsil eder.
<input>	      Bir giriş denetimi tanımlar.
<ins>	        Bir belgeye eklenmiş bir metin bloğunu tanımlar.
<kbd>	        Metni klavye girişi olarak belirtir.
<keygen> 	    Genel-özel anahtar çifti oluşturmak için bir denetimi temsil eder.
<label>	      Bir denetim için bir etiket tanımlar <input>.
<legend>	    Bir öğe için bir başlık tanımlar <fieldset>.
<li>	        Bir liste öğesi tanımlar.
<link>	      Geçerli belge ile bir dış kaynak arasındaki ilişkiyi tanımlar.
<main> 	      Belgenin ana veya baskın içeriğini temsil eder.
<map>	        İstemci tarafı bir görüntü haritası tanımlar.
<mark> 	      Başvuru amacıyla vurgulanan metni temsil eder.
<menu>	      Bir komut listesini temsil eder.
<menuitem> 	  Bir kullanıcının gerçekleştirebileceği komutların bir listesini (veya menü öğesini) tanımlar.
<meta>	      Belge içeriği hakkında yapılandırılmış meta veriler sağlar.
<meter> 	    Bilinen bir aralıkta skaler bir ölçümü temsil eder.
<nav> 	      Gezinme bağlantılarının bir bölümünü tanımlar.
<noframes>	  Modası geçmişÇerçeveleri desteklemeyen tarayıcılarda görüntülenen alternatif bir içerik tanımlar.
<noscript>	  Tarayıcı komut dizisini desteklemediğinde görüntülenecek alternatif içeriği tanımlar.
<object>	    Katıştırılmış bir nesneyi tanımlar.
<ol>	        Sıralı bir liste tanımlar.
<optgroup>	  Bir seçim listesinde ilgili seçenekler grubunu tanımlar.
<option>	    Seçim listesindeki bir seçeneği tanımlar.
<output> 	    Bir hesaplamanın sonucunu temsil eder.
<p>	         Bir paragraf tanımlar.
<param>	     Bir nesne veya uygulama öğesi için bir parametre tanımlar.
<picture> 	 Birden çok görüntü kaynağı için bir kapsayıcı tanımlar.
<pre>	       Önceden biçimlendirilmiş bir metin bloğu tanımlar.
<progress>  Bir görevin tamamlanma ilerlemesini temsil eder.
<q>	         Kısa bir satır içi alıntı tanımlar.
<rp> 	       Yakut ek açıklamalarını desteklemeyen tarayıcılar için yedek parantez sağlar.
<rt> 	       Ruby ek açıklamalarında sunulan karakterin telaffuzunu tanımlar.
<ruby> 	     Ruby ek açıklamasını temsil eder.
<s>	         Artık doğru olmayan veya alakalı olmayan içerikleri temsil eder.
<samp>	     Metni bir bilgisayar programından örnek çıktı olarak belirtir.
<script>	   Komut dosyasını, istemci tarafı işleme için belgeye yerleştirir.
<section> 	 Bir belgenin üst bilgi, alt bilgi vb. gibi bir bölümünü tanımlar.
<select>	   Form içinde bir seçim listesi tanımlar.
<small>	     Metni daha küçük bir boyutta görüntüler.
<source> 	<audio>veya gibi ortam öğeleri için alternatif ortam kaynaklarını tanımlar <video>.
<span>	     Bir belgede satır içi stilsiz bir bölüm tanımlar.
<strike>	   Modası geçmişMetni üstü çizili tarzda görüntüler.
<strong>	   Kuvvetle vurgulanan metni belirtin.
<style>	     Bir belgenin başlığına stil bilgisi (genellikle CSS) ekler.
<sub>	       Alt simgeli metni tanımlar.
<summary>    Öğe için bir özet tanımlar <details>.
<sup>       Üst simgeli metni tanımlar.
<svg> 	    SVG (Ölçeklenebilir Vektör Grafikleri) içeriğini bir HTML belgesine gömün.
<table>	    Bir veri tablosu tanımlar.
<tbody>	    Tablo verilerinin ana gövdesini tanımlayan bir dizi satırı gruplandırır.
<td>	      Tablodaki bir hücreyi tanımlar.
<template> 	Sayfa yüklendiğinde gizlenmesi gereken, ancak JavaScript tarafından kopyalanıp belgeye eklenebilen HTML parçalarını tanımlar.
<textarea>	Çok satırlı bir metin girişi denetimi (metin alanı) tanımlar.
<tfoot>	    Tablonun sütunlarını özetleyen bir dizi satırı gruplandırır.
<th>	      Bir tabloda bir başlık hücresi tanımlar.
<thead>     Bir tablonun sütun etiketlerini açıklayan bir dizi satırı gruplandırır.
<time> 	    Bir saati ve/veya tarihi temsil eder.
<title>	    Belge için bir başlık tanımlar.
<tr>	      Tablodaki bir hücre sırasını tanımlar.
<track> 	<audio>veya gibi ortam öğeleri için metin parçalarını tanımlar <video>.
<tt>	      Modası geçmişMetni teleyazı stilinde görüntüler.
<u>	        Metni altı çizili olarak görüntüler.
<ul>	      Sırasız bir liste tanımlar.
<var>	      Bir değişken tanımlar.
<video> 	  Video içeriğini bir HTML belgesine gömer.
<wbr> 	    Bir satır sonu fırsatını temsil eder.
